Date,Price,Open,High,Low,Vol.,Change %
06/01/2018,11750,11700,12000,11700,4.31M,0
06/04/2018,12550,12000,12550,12000,7.42M,0.0681
06/05/2018,12900,12700,13150,12600,8.11M,0.0279
06/06/2018,13300,12800,13450,12700,8.48M,0.031
06/07/2018,13000,13300,13350,12950,7.11M,-0.0226
06/08/2018,12900,13000,13100,12850,3.97M,-0.0077
06/11/2018,12600,12800,12900,12600,3.76M,-0.0233
06/12/2018,12800,12500,12950,12350,8.55M,0.0159
06/13/2018,12800,12800,12950,12700,1.81M,0
06/14/2018,12550,12750,12800,12500,2.46M,-0.0195
06/15/2018,12400,12400,12600,12350,5.46M,-0.012
06/18/2018,12000,12400,12550,11850,3.99M,-0.0323
06/19/2018,11700,11950,11950,11300,8.28M,-0.025
06/20/2018,12000,11750,12000,11600,3.29M,0.0256
06/21/2018,11700,11900,12000,11650,2.49M,-0.025
06/22/2018,12000,11600,12050,11600,3.19M,0.0256
06/25/2018,12150,12350,12350,12050,2.83M,0.0125
06/26/2018,12000,11900,12050,11850,2.55M,-0.0123
06/27/2018,11800,12000,12200,11800,1.75M,-0.0167
06/28/2018,11550,11800,11850,11400,3.66M,-0.0212
06/29/2018,11550,11600,11700,11500,1.89M,0
07/02/2018,11100,11550,11550,11100,3.79M,-0.039
07/03/2018,10350,11200,11250,10350,6.65M,-0.0676
07/04/2018,10300,10500,10650,10250,6.77M,-0.0048
07/05/2018,9720,10250,10350,9670,5.66M,-0.0563
07/06/2018,10400,9800,10400,9700,8.47M,0.07
07/09/2018,10400,10550,10750,10400,4.72M,0
07/10/2018,10400,10400,10600,10400,2.37M,0
07/11/2018,10000,10200,10300,9850,4.82M,-0.0385
07/12/2018,10150,10000,10450,10000,3.16M,0.015
07/13/2018,10450,10350,10500,10300,2.84M,0.0296
07/16/2018,10500,10550,10700,10450,3.02M,0.0048
07/17/2018,10750,10450,10800,10450,4.09M,0.0238
07/18/2018,11200,10850,11200,10800,5.79M,0.0419
07/19/2018,11000,11200,11200,10900,3.34M,-0.0179
07/20/2018,11000,10950,11100,10800,4.08M,0
07/23/2018,11750,11300,11750,11250,14.24M,0.0682
07/24/2018,11400,11600,11800,11400,5.42M,-0.0298
07/25/2018,11200,11400,11550,11200,3.15M,-0.0175
07/26/2018,11250,11200,11350,11050,4.44M,0.0045
07/27/2018,11200,11300,11400,11200,2.79M,-0.0044
07/30/2018,11500,11300,11550,11250,5.19M,0.0268
07/31/2018,11450,11500,11700,11350,4.23M,-0.0043
08/01/2018,11300,11450,11550,11300,2.52M,-0.0131
08/02/2018,11050,11250,11300,10950,7.58M,-0.0221
08/03/2018,11050,11250,11300,11050,2.41M,0
08/06/2018,11150,11050,11350,11000,3.13M,0.009
