Date,Price,Open,High,Low,Vol.,Change %
6/1/2018,11783.90,11642.90,11965.20,11562.30,15.87M,0.52%
6/4/2018,12267.40,11723.50,12267.40,11683.20,16.32M,4.10%
6/5/2018,12267.40,12247.20,12408.40,12005.50,13.13M,0.00%
6/6/2018,12307.60,12126.40,12388.20,12045.80,17.76M,0.33%
6/7/2018,12448.70,12408.40,12650.10,12327.80,22.65M,1.15%
6/8/2018,12388.20,12247.20,12488.90,12086.10,11.69M,-0.49%
6/11/2018,12206.90,12247.20,12549.40,12186.80,13.75M,-1.46%
6/12/2018,11864.50,12086.10,12126.40,11542.20,26.64M,-2.80%
6/13/2018,11884.60,11844.30,11965.20,11602.60,9.94M,0.17%
6/14/2018,11522.10,11884.60,11924.90,11522.10,7.43M,-3.05%
6/15/2018,11844.30,11401.20,11884.60,11401.20,9.14M,2.80%
6/18/2018,11280.30,11864.50,11945.10,11240.00,13.80M,-4.76%
6/19/2018,11078.90,11078.90,11139.30,10514.90,19.82M,-1.79%
6/20/2018,11240.00,11199.80,11381.00,11018.50,11.65M,1.45%
6/21/2018,10917.70,11240.00,11240.00,10877.50,6.12M,-2.87%
6/22/2018,11240.00,10837.20,11240.00,10716.30,7.88M,2.95%
6/25/2018,11360.90,11360.90,11522.10,11300.50,9.47M,1.08%
6/26/2018,11240.00,11179.60,11320.60,11078.90,6.09M,-1.06%
6/27/2018,10998.30,11280.30,11320.60,10998.30,5.48M,-2.15%
6/28/2018,10676.00,10837.20,10998.30,10595.50,13.31M,-2.93%
6/29/2018,10555.20,10676.00,10837.20,10514.90,8.55M,-1.13%
7/2/2018,10011.30,10313.40,10535.00,9950.90,14.45M,-5.15%
7/3/2018,9447.30,10031.40,10132.20,9427.10,15.92M,-5.63%
7/4/2018,9628.60,9668.90,9689.00,9407.00,7.97M,1.92%
7/5/2018,9084.70,9628.60,9709.10,9084.70,11.00M,-5.65%
7/6/2018,9708.10,9204.70,9708.10,9084.90,10.96M,6.86%
7/9/2018,9780.00,9971.80,10139.60,9660.20,8.55M,0.74%
7/10/2018,9875.90,9947.80,10043.70,9780.00,6.56M,0.98%
7/11/2018,9300.60,9492.40,9636.20,9228.70,10.95M,-5.83%
7/12/2018,9684.20,9348.60,9875.90,9276.70,7.13M,4.12%
7/13/2018,9971.80,9923.90,10115.60,9828.00,11.94M,2.97%
7/16/2018,10259.50,10235.50,10379.30,10091.70,13.63M,2.89%
7/17/2018,10714.90,10091.70,10786.80,10067.70,12.29M,4.44%
7/18/2018,11074.50,10762.80,11122.40,10738.90,12.26M,3.36%
7/19/2018,10834.80,11026.50,11074.50,10786.80,14.44M,-2.16%
7/20/2018,11170.30,10738.90,11266.20,10547.10,17.91M,3.10%
7/23/2018,10954.60,11146.40,11386.10,10954.60,12.09M,-1.93%
7/24/2018,10834.80,10906.70,11050.50,10643.00,9.58M,-1.09%
7/25/2018,10547.10,10930.60,11002.60,10547.10,11.18M,-2.66%
7/26/2018,10786.80,10547.10,10786.80,10379.30,8.88M,2.27%
7/27/2018,11026.50,10858.70,11146.40,10762.80,14.66M,2.22%
7/30/2018,11266.20,11170.30,11266.20,11098.40,8.36M,2.17%
7/31/2018,11242.30,11122.40,11458.00,11026.50,12.64M,-0.21%
8/1/2018,11074.50,11170.30,11314.20,10978.60,9.78M,-1.49%
8/2/2018,11002.60,11050.50,11050.50,10738.90,10.37M,-0.65%
8/3/2018,11074.50,11122.40,11242.30,11002.60,9.06M,0.65%
8/6/2018,10954.60,10978.60,11170.30,10906.70,7.02M,-1.08%
8/7/2018,10930.60,10930.60,11146.40,10834.80,8.31M,-0.22%
8/8/2018,11170.30,11026.50,11266.20,10954.60,10.74M,2.19%
8/9/2018,11098.40,11338.10,11410.10,11098.40,13.55M,-0.64%
8/10/2018,11146.40,11074.50,11146.40,10978.60,9.14M,0.43%
8/13/2018,11673.70,11098.40,11673.70,11050.50,26.32M,4.73%
8/14/2018,11434.00,11673.70,11745.60,11434.00,12.84M,-2.05%
8/15/2018,11170.30,11458.00,11601.80,11170.30,22.01M,-2.31%
8/16/2018,11362.10,11026.50,11362.10,10930.60,15.34M,1.72%
8/17/2018,11218.30,11458.00,11482.00,11218.30,9.95M,-1.27%
8/20/2018,10978.60,11218.30,11290.20,10978.60,10.51M,-2.14%
8/21/2018,11242.30,10954.60,11242.30,10954.60,10.41M,2.40%
8/22/2018,11218.30,11362.10,11362.10,11170.30,11.01M,-0.21%
8/23/2018,11242.30,11218.30,11290.20,11170.30,7.55M,0.21%
8/24/2018,11266.20,11266.20,11386.10,11026.50,13.34M,0.21%
8/27/2018,11458.00,11362.10,11577.80,11290.20,23.00M,1.70%
8/28/2018,11458.00,11529.90,11625.80,11410.10,12.51M,0.00%
8/29/2018,11386.10,11458.00,11482.00,11338.10,8.29M,-0.63%
8/30/2018,11553.90,11362.10,11577.80,11338.10,13.24M,1.47%
8/31/2018,11362.10,11601.80,11697.70,11362.10,13.26M,-1.66%
9/4/2018,11074.50,11314.20,11386.10,11074.50,13.94M,-2.53%
9/5/2018,10906.70,11026.50,11122.40,10834.80,14.41M,-1.52%
9/6/2018,10762.80,10906.70,11002.60,10714.90,8.76M,-1.32%
9/7/2018,10954.60,10762.80,10954.60,10738.90,7.52M,1.78%
9/10/2018,10858.70,10954.60,10978.60,10810.80,5.56M,-0.88%
9/11/2018,11026.50,10858.70,11026.50,10834.80,7.58M,1.55%
9/12/2018,10906.70,11074.50,11122.40,10906.70,6.74M,-1.09%
9/13/2018,10930.60,10978.60,11074.50,10906.70,7.01M,0.22%
9/14/2018,10834.80,10930.60,10978.60,10738.90,21.47M,-0.88%
9/17/2018,10595.10,10786.80,10834.80,10547.10,17.18M,-2.21%
9/18/2018,10595.10,10451.20,10619.00,10403.30,11.52M,0.00%
9/19/2018,10738.90,10595.10,10810.80,10595.10,11.49M,1.36%
9/20/2018,10834.80,10738.90,10882.70,10714.90,8.20M,0.89%
9/21/2018,11002.60,10882.70,11050.50,10810.80,18.18M,1.55%
9/24/2018,11122.40,11074.50,11218.30,11074.50,13.86M,1.09%
9/25/2018,10978.60,11122.40,11170.30,10978.60,12.13M,-1.29%
